bib_id,source,source_id,match_score,bib_type,doi,title,authors,editors,publisher,publication_year,publication_date,container,volume,issue,first_page,last_page,edition,version,url
1,crossref,10.32614/cran.package.faux,100,misc,10.32614/cran.package.faux,faux: Simulation for Factorial Designs,"DeBruine, Lisa",,The R Foundation,2020,,CRAN: Contributed Packages,,,,,,,https://doi.org/10.32614/cran.package.faux
2,crossref,10.1037/0003-066x.54.6.408,100,article,10.1037/0003-066x.54.6.408,The origins of sex differences in human behavior: Evolved dispositions versus social roles.,"Eagly, Alice H.; Wood, Wendy",,American Psychological Association (APA),1999,,American Psychologist,54,6,408,423,,,https://doi.org/10.1037/0003-066x.54.6.408
3,crossref,10.1177/0956797614520714,100,article,10.1177/0956797614520714,Retracted: Evil Genius? How Dishonesty Can Lead to Greater Creativity,"Gino, Francesca; Wiltermuth, Scott S.",,SAGE Publications,2014,,Psychological Science,25,4,973,981,,,https://doi.org/10.1177/0956797614520714
4,crossref,10.1177/2515245918770963,100,article,10.1177/2515245918770963,Equivalence Testing for Psychological Research: A Tutorial,"Lakens, Daniel; Scheel, Anne M.; Isager, Peder Mortvedt",,SAGE Publications,2018,,Advances in Methods and Practices in Psychological Science,1,2,259,269,,,https://doi.org/10.1177/2515245918770963
