id,doi,all_urls,coi_check,coi_check_oi,funding_check,funding_check_oi,open_practices,causal_claims,power,all_p_values,marginal,stat_check,stat_effect_size,stat_p_exact,stat_p_nonsig,ref_pubpeer,ref_replication,ref_retraction,ref_summary,all_urls.time,coi_check.time,coi_check_oi.time,funding_check.time,funding_check_oi.time,open_practices.time,causal_claims.time,power.time,all_p_values.time,marginal.time,stat_check.time,stat_effect_size.time,stat_p_exact.time,stat_p_nonsig.time,ref_pubpeer.time,ref_replication.time,ref_retraction.time,ref_summary.time
0956797620955209,10.1177/0956797620955209,info,green,green,green,green,green,green,yellow,info,green,red,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620957625,10.1177/0956797620957625,info,green,green,green,green,green,yellow,na,info,red,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620958638,10.1177/0956797620958638,info,green,green,green,green,yellow,yellow,yellow,info,red,green,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620958650,10.1177/0956797620958650,info,green,green,green,green,yellow,green,yellow,info,green,green,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620959014,10.1177/0956797620959014,info,green,green,green,green,red,yellow,na,info,green,na,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620959594,10.1177/0956797620959594,info,green,green,green,green,red,green,yellow,info,green,red,na,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620960011,10.1177/0956797620960011,info,green,green,green,green,green,green,yellow,info,green,green,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620963615,10.1177/0956797620963615,info,green,green,green,green,green,green,yellow,info,green,green,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620965520,10.1177/0956797620965520,info,red,red,red,green,red,green,yellow,info,red,green,na,red,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
0956797620965536,10.1177/0956797620965536,info,green,green,red,red,green,green,yellow,info,green,green,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620967261,10.1177/0956797620967261,info,green,green,green,green,yellow,yellow,na,info,green,green,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620968789,10.1177/0956797620968789,info,green,green,green,green,red,yellow,yellow,info,green,green,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620970548,10.1177/0956797620970548,info,green,green,green,green,yellow,green,yellow,info,green,red,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620970559,10.1177/0956797620970559,info,green,green,green,green,yellow,green,yellow,info,green,na,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620971298,10.1177/0956797620971298,info,green,green,red,green,yellow,yellow,yellow,info,green,green,na,green,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
0956797620971652,10.1177/0956797620971652,info,green,green,green,green,green,yellow,na,na,green,na,na,na,green,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620972116,10.1177/0956797620972116,info,green,green,green,green,yellow,green,na,info,green,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620972688,10.1177/0956797620972688,info,green,green,green,green,red,yellow,na,info,green,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620975781,10.1177/0956797620975781,info,green,green,green,green,green,yellow,yellow,info,green,green,na,red,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
0956797620984464,10.1177/0956797620984464,info,green,green,green,green,yellow,yellow,yellow,info,green,green,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797620985832,10.1177/0956797620985832,info,green,green,green,green,green,green,yellow,info,green,green,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976211001317,10.1177/09567976211001317,info,green,green,red,green,yellow,green,yellow,na,green,na,na,na,green,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976211005465,10.1177/09567976211005465,info,green,green,green,green,yellow,yellow,na,info,green,green,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211005767,10.1177/09567976211005767,info,green,green,green,green,green,yellow,yellow,info,green,na,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976211007414,10.1177/09567976211007414,info,green,green,green,green,green,yellow,yellow,info,green,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211007788,10.1177/09567976211007788,info,green,green,red,green,green,green,yellow,info,green,green,na,green,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976211010718,10.1177/09567976211010718,info,green,green,green,green,green,green,yellow,info,red,na,na,red,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
09567976211011969,10.1177/09567976211011969,info,red,red,red,green,yellow,green,yellow,info,red,green,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211013045,10.1177/09567976211013045,na,green,green,red,green,red,yellow,yellow,info,green,green,red,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976211015941,10.1177/09567976211015941,info,green,green,green,green,yellow,yellow,yellow,info,green,green,na,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211015942,10.1177/09567976211015942,info,red,red,green,green,red,yellow,na,info,green,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211016395,10.1177/09567976211016395,info,green,green,green,green,red,green,na,info,green,na,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211016410,10.1177/09567976211016410,info,green,green,green,green,green,yellow,yellow,info,green,na,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211017870,10.1177/09567976211017870,info,green,green,green,green,yellow,green,yellow,info,green,green,na,red,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976211018618,10.1177/09567976211018618,info,green,green,green,green,green,green,yellow,info,green,green,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211019950,10.1177/09567976211019950,info,green,green,green,green,yellow,green,na,na,green,na,na,na,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211024259,10.1177/09567976211024259,info,green,green,green,green,green,yellow,na,info,red,green,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211024260,10.1177/09567976211024260,info,green,green,green,green,green,yellow,yellow,info,red,na,na,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211024535,10.1177/09567976211024535,info,green,green,green,green,green,green,yellow,info,green,red,na,green,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
09567976211026983,10.1177/09567976211026983,info,green,green,green,green,green,yellow,yellow,info,green,green,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211028978,10.1177/09567976211028978,info,green,green,red,red,yellow,green,yellow,info,red,green,na,red,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976211030630,10.1177/09567976211030630,info,green,green,green,green,yellow,green,yellow,info,green,red,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211032224,10.1177/09567976211032224,info,green,green,green,green,yellow,green,yellow,info,green,green,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211032676,10.1177/09567976211032676,info,green,green,green,green,yellow,yellow,yellow,info,green,red,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211037971,10.1177/09567976211037971,info,green,green,green,green,yellow,yellow,na,info,green,na,na,red,green,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976211040491,10.1177/09567976211040491,info,green,green,green,green,green,yellow,na,info,green,green,na,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211040803,10.1177/09567976211040803,info,green,green,red,green,green,green,yellow,info,green,na,na,red,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976211043426,10.1177/09567976211043426,info,green,green,green,green,green,yellow,na,na,green,na,na,na,green,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976211043428,10.1177/09567976211043428,info,green,green,green,green,yellow,green,yellow,info,green,green,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211046884,10.1177/09567976211046884,info,green,green,red,red,green,yellow,yellow,na,green,na,na,na,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211048485,10.1177/09567976211048485,info,green,green,green,green,red,yellow,yellow,info,red,green,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211049439,10.1177/09567976211049439,info,green,green,green,green,green,green,yellow,info,green,green,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211051272,10.1177/09567976211051272,info,green,green,red,red,green,yellow,na,info,green,green,na,green,green,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976211052476,10.1177/09567976211052476,info,green,green,green,green,yellow,yellow,yellow,info,green,green,red,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211055375,10.1177/09567976211055375,info,green,green,green,green,yellow,green,yellow,info,green,green,na,red,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976211059801,10.1177/09567976211059801,info,green,green,green,green,green,green,na,info,green,green,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211061321,10.1177/09567976211061321,info,green,green,red,red,yellow,yellow,yellow,info,green,na,na,green,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976211068045,10.1177/09567976211068045,info,green,green,green,green,green,yellow,na,na,green,na,na,na,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976211068070,10.1177/09567976211068070,info,green,green,green,green,red,yellow,yellow,info,green,green,red,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976211068880,10.1177/09567976211068880,info,green,green,green,green,yellow,yellow,yellow,info,green,green,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797621991137,10.1177/0956797621991137,info,green,green,green,green,yellow,yellow,yellow,info,green,red,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797621991548,10.1177/0956797621991548,info,green,green,green,green,yellow,green,yellow,info,green,green,red,green,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
